1	것	A thing or an object
2	하다	To do
3	있다	To be
4	수	way, method, Number	數	the number of sth
5	하다	To do
6	나	I
7	없다	Do not exist, absent
8	않다	To not do
9	사람	Person
10	우리	we, our
11	그	He, That
12	아니다	To not be
13	보다	To try
14	거	thing
15	보다	To see
16	같다	To be similar
17	주다	To give, to do for a person
18	대하다	Face, confront	對-	face, confront
19	가다	To go
20	년	Year	年	year
21	한	One, a single	限	a limit	恨	a grudge, rancor
22	말	words,speaking	末	end
23	일	Work	一	one
24	이	A person, a man/woman	二	two
25	말하다	Speak
26	위하다	To do for the sake of	爲-	to do for the sake of
27	그러나	However or but still
28	오다	To come
29	알다	To know
30	씨	~ Mr.	氏	Mister
31	그렇다	That is right or yes.
32	크다	To be big, large
33	일	One day	一	one
34	사회	culture,society	社會	society
35	많다	many, much
36	안	~ not ~ + VERB	案	a plan, proposal, suggestion
37	좋다	To be good
38	더	More
39	받다	Receive
40	그것	That thing
41	집	House
42	나오다	Come out
43	그리고	And or and then
44	문제	question,problem	問題	problem
45	그런	Such a
46	살다	To live
47	저	That
48	못하다	Be impossible
49	생각하다	To think
50	모르다	To not know
51	속	The inside
52	만들다	To make
53	데	Place, point, instance
54	앞	In front of, before
55	경우	A case or an instance	境遇	a case; an instance
56	중	The center, the middle	中	the center, the middle
57	어떤	What kind of, what sort of
58	잘	Well
59	그녀	She	-女	she
60	먹다	Eat, chow down on
61	자신	one’s own self, one\’s own body	自身	one's own self, one's own body	自信	self-confidence
62	문화	culture	文化	culture
63	원	A unit of south korean money, KRW	圓	a circle
64	생각	Thought
65	어떻다	how,what.. do you think of
66	명	Person counter	名	person counter
67	통하다	Run, lead; flow; go through	通-	run, lead; flow; go through
68	그러다	and so, and then, well
69	그러다	and so, and then, well
70	소리	A sound,noise
71	다시	Again
72	다른	Different
73	이런	Such, like this
74	여자	woman,female	女子	woman	女子	woman,female
75	개	Unit or piece	個	unit or  piece
76	정도	grade,degree	程度	degree	程度	grade
77	다	All, everything
78	좀	A little
79	싶다	want,hope
80	보이다	see,catch sight of
81	가지다	To have or take or hold
82	함께	Together, with
83	아이	Child
84	지나다	pass,elapse,go on
85	많이	A lot
86	시간	Time	時間	time
87	너	You
88	인간	A person, a human being	人間	a person, a human being
89	사실	The truth, a fact	事實	fact	事實	reality	事實	truth
90	나다	To be born
91	이렇다	Like this
92	어머니	Mom
93	눈	Eyes
94	뭐	Huh? (2) something
95	점	Store	點	store	點	a spot, a blemish
96	의하다	To be due to, owing to	依-	to be due to, owing to
97	시대	An age,period	時代	era	時代	period
98	다음	Next
99	이러하다	Be this way, be like follows
100	누구	Who
101	곳	Place
102	여러	many,various
103	안	Inside	案	a plan, proposal, suggestion
104	하나	One
105	세계	World	世界	world
106	버리다	(following a verb) the verb\’s action is over, perhaps in a sad way
107	위	The upper part, above	位	position, grade, rank	胃	the stomach
108	운동	Motion, movement	運動	exercise
109	퍼센트	Percent
110	학교	School	學校	school
111	자기	Oneself, number one, numerouno, self	磁器	china	磁氣	magnetism	磁器	porcelain	自己	self
112	가장	Most	假裝	masquerade	家長	patriarch
113	대통령	The president	大統領	president
114	가지	One of the kind or a sort
115	시작하다	To start,begin	始作-	to start, begin
116	바로	Right, correctly
117	어느	Some, a certain
118	그래서	And so accordingly
119	무엇	That thing,whatever
120	정부	Government	政府	government	情婦	mistress
121	모든	Every one
122	번	Number, how many times	番	number, how many times
123	그거	That thing
124	돈	Money
125	국가	A state or a nation	國家	country	國家	state
126	그런데	But or however
127	날	Day
128	여기	A hobby	餘技	avocation
