1	것	A thing or an object
2	하다	To do
3	있다	To be
5	하다	To do
6	나	I
7	없다	Do not exist, absent
8	않다	To not do
9	사람	Person
10	우리	we, our
11	그	He, That
12	아니다	To not be
13	보다	To try
14	거	thing
15	보다	To see
16	같다	To be similar
17	주다	To give, to do for a person
19	가다	To go
25	말하다	Speak
27	그러나	However or but still
28	오다	To come
29	알다	To know
31	그렇다	That is right or yes.
32	크다	To be big, large
35	많다	many, much
37	좋다	To be good
38	더	More
39	받다	Receive
40	그것	That thing
41	집	House
42	나오다	Come out
43	그리고	And or and then
45	그런	Such a
46	살다	To live
47	저	That
48	못하다	Be impossible
49	생각하다	To think
50	모르다	To not know
51	속	The inside
52	만들다	To make
53	데	Place, point, instance
54	앞	In front of, before
57	어떤	What kind of, what sort of
58	잘	Well
60	먹다	Eat, chow down on
64	생각	Thought
65	어떻다	how,what.. do you think of
68	그러다	and so, and then, well
69	그러다	and so, and then, well
70	소리	A sound,noise
71	다시	Again
72	다른	Different
73	이런	Such, like this
77	다	All, everything
78	좀	A little
79	싶다	want,hope
80	보이다	see,catch sight of
81	가지다	To have or take or hold
82	함께	Together, with
83	아이	Child
84	지나다	pass,elapse,go on
85	많이	A lot
87	너	You
90	나다	To be born
91	이렇다	Like this
92	어머니	Mom
93	눈	Eyes
94	뭐	Huh? (2) something
98	다음	Next
99	이러하다	Be this way, be like follows
100	누구	Who
101	곳	Place
102	여러	many,various
104	하나	One
106	버리다	(following a verb) the verb\’s action is over, perhaps in a sad way
109	퍼센트	Percent
114	가지	One of the kind or a sort
116	바로	Right, correctly
117	어느	Some, a certain
118	그래서	And so accordingly
119	무엇	That thing,whatever
121	모든	Every one
123	그거	That thing
124	돈	Money
126	그런데	But or however
127	날	Day
129	모두	Everybody
132	마음	Heart
134	놓다	Put, place
136	아버지	Father
138	어디	Where?
139	몸	body,physique
140	얼굴	Face
141	왜	Why?
142	나타나다	Come out, appear
144	다르다	Be different
145	모습	shape,body
146	물	Water
147	만나다	Meet
148	내다	produce something
149	보이다	show,let see
150	쓰다	To write
151	이것	This thing
152	없이	Without
154	길	Road
156	쓰다	Take (medicine)
157	뿐	only,alone,merely
158	사이	space between 2 points; the relationship between 2 people
160	새롭다	To be new,novel
161	내다	to see through, to make it through sth
162	앉다	To sit down
163	처음	First
164	손	The hand
165	몇	A few
166	그때	Then or at that time
168	삶	Life
169	갖다	To hold
170	찾다	seek,look for
175	나가다	To go out
176	이야기	Conversation, talk
178	사다	To buy, purchase
180	아직	Still
181	잡다	seize,catch
182	같이	Together
183	선생님	Teacher
185	서다	To stand
186	못	Cannot
188	읽다	To read
193	일어나다	To rise, get up
196	넣다	Put in, set in
198	무슨	What, what kind of
199	느끼다	To feel
200	어렵다	To be hard, difficult
201	힘	Power
202	너무	Too much
203	나라	A country
204	부르다	To call
206	자리	seat,spot
207	밝히다	To light up
208	죽다	die,pass away
209	이미	Already
210	쪽	Way, direction
214	얘기	Story
217	엄마	Mamma
218	이름	Name
219	하나	One
220	내리다	Descend
222	및	As well as
223	쉽다	To be easy
224	짓다	To make, build ; to form a line (a group)
227	글	words, a verse
228	생기다	arise,occur,happen
229	사용하다	To use
231	밖	The outside
233	작다	Small
234	타다	Ride (bus)
238	가운데	In the middle
239	보내다	Send
245	더욱	More and more
246	아주	Extremely
248	밤	Night
249	높다	High
251	채	As it is, no change
254	컴퓨터	Computer
255	먼저	First
256	다니다	Go to and from a aplace
257	얼마나	How many, how much
259	열다	Open
260	머리	Head
261	묻다	to Ask
262	남다	Remain, be left over
